class,maxV,minV,width,minVbp,threshold
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,40.70090042,-54.89298903,1.062,-54.89298903,-47.5150791
1,21.67179526,-55.23967987,0.966,-43.82218535,-43.82218535
0,0,0,0,0,0
1,39.27389602,-54.09256341,1.032,-54.09256341,-47.46662441
1,26.276672,-60.89794126,0.9,-47.48311603,-47.38527294
1,40.00903335,-54.49773595,1.035,-54.49773595,-47.45529378
0,0,0,0,0,0
1,16.43201935,-61.3234664,0.924,-42.82603621,-42.82603621
1,40.58049635,-54.87314634,1.056,-54.87314634,-47.51074308
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,41.57923083,-55.3005664,1.11,-55.3005664,-47.58699079
1,40.68875809,-55.02287278,1.065,-55.02287278,-47.55347235
1,30.98930367,-61.03412464,0.885,-50.23403263,-47.2560115
1,42.16594306,-55.8409338,1.131,-55.8409338,-47.61001284
0,0,0,0,0,0
1,23.14286183,-63.30994608,0.885,-46.19425497,-46.19425497
0,0,0,0,0,0
0,0,0,0,0,0
1,38.37438026,-54.01514229,0.969,-54.01514229,-47.43761605
1,30.58163059,-53.32936803,0.948,-48.76602414,-47.37184927
0,0,0,0,0,0
0,0,0,0,0,0
1,32.00752374,-56.98053322,0.909,-50.29233662,-47.31294223
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,33.07052187,-56.56003423,0.906,-51.00447708,-47.28624
0,0,0,0,0,0
0,0,0,0,0,0
1,35.1143853,-51.55594837,0.951,-51.55594837,-47.35742644
1,39.98505307,-54.20164639,1.062,-54.20164639,-47.48953173
1,28.44073595,-51.58504314,0.972,-47.19236561,-47.19236561
0,0,0,0,0,0
1,26.35970676,-64.46408697,0.87,-48.11976437,-47.29628229
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,30.60718741,-65.29735558,0.864,-50.58577418,-47.26905063
